,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update
0,Rema1000,FLUTES,BAGUETTE/FLUTES,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60309/image/1618240052/170.jpg,https://shop.rema1000.dk/brod-bavinchi,6.50,300,GR.,2025-04-27
1,Rema1000,CIABATTA,BAGUETTE/FLUTES,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60308/image/1725453512/170.jpg,https://shop.rema1000.dk/brod-bavinchi,6.95,300,GR.,2025-04-27
2,Rema1000,SOLSIKKEBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60089/image/1648999091/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.50,500,GR.,2025-04-27
3,Rema1000,KRYDDERBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60122/image/1629889167/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.50,350,GR.,2025-04-27
4,Rema1000,RUGBRØDSBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63861/image/1744035822/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,500,GR.,2025-04-27
5,Rema1000,MULTIKERNEBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61541/image/1686144697/170.jpg,https://shop.rema1000.dk/brod-bavinchi,15.00,550,GR.,2025-04-27
6,Rema1000,SOLSKINSBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60106/image/1744035785/170.jpg,https://shop.rema1000.dk/brod-bavinchi,22.75,390,GR.,2025-04-27
7,Rema1000,CHIA BOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60080/image/1686144621/170.jpg,https://shop.rema1000.dk/brod-bavinchi,15.00,520,GR.,2025-04-27
8,Rema1000,FULDKORNS BOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/64746/image/1686144734/170.jpg,https://shop.rema1000.dk/brod-bavinchi,15.00,470,GR.,2025-04-27
9,Rema1000,KRYDDERBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60121/image/1725453409/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.50,410,GR.,2025-04-27
10,Rema1000,YOGHURTBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60009/image/1639313866/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.00,500,GR.,2025-04-27
11,Rema1000,CIABATTASTYKKER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61208/image/1618240061/170.jpg,https://shop.rema1000.dk/brod-bavinchi,14.50,420,GR.,2025-04-27
12,Rema1000,BOLLER ØKOLOGISK,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61248/image/1726226263/170.jpg,https://shop.rema1000.dk/brod-bavinchi,22.00,375,GR.,2025-04-27
13,Rema1000,HVEDETOAST,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60112/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,5.95,375,GR.,2025-04-27
14,Rema1000,FULDKORNSTOAST,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60113/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.50,375,GR.,2025-04-27
15,Rema1000,HVEDESANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60114/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.75,500,GR.,2025-04-27
16,Rema1000,SKAGENSBRØD,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63139/image/1674809992/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.50,650,GR.,2025-04-27
17,Rema1000,MULTIK. SANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61542/image/1642145986/170.jpg,https://shop.rema1000.dk/brod-bavinchi,15.00,800,GR.,2025-04-27
18,Rema1000,GROV CAFESANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60640/image/1744720704/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,400,GR.,2025-04-27
19,Rema1000,CAFE SANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60141/image/1737361817/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,380,GR.,2025-04-27
20,Rema1000,LIMPAN,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60055/image/1618240048/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.95,900,GR.,2025-04-27
21,Rema1000,FULDKORNSSANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60115/image/1672755779/170.jpg,https://shop.rema1000.dk/brod-bavinchi,9.50,500,GR.,2025-04-27
