Unnamed: 0,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update,Mapped Category
0,Rema1000,FLUTES,BAGUETTE/FLUTES,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60309/image/1618240052/170.jpg,https://shop.rema1000.dk/brod-bavinchi,6.5,300.0,GR.,2025-04-18,BRØD
1,Rema1000,CIABATTA,BAGUETTE/FLUTES,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60308/image/1725453512/170.jpg,https://shop.rema1000.dk/brod-bavinchi,6.95,300.0,GR.,2025-04-18,BRØD
2,Rema1000,SOLSIKKEBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60089/image/1648999091/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,500.0,GR.,2025-04-18,BRØD
3,Rema1000,KRYDDERBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60122/image/1629889167/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.5,350.0,GR.,2025-04-18,BRØD
4,Rema1000,MULTIKERNEBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61541/image/1686144697/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,550.0,GR.,2025-04-18,BRØD
5,Rema1000,RUGBRØDSBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63861/image/1744035822/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,500.0,GR.,2025-04-18,BRØD
6,Rema1000,YOGHURTBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60009/image/1639313866/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,500.0,GR.,2025-04-18,BRØD
7,Rema1000,FULDKORNS BOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/64746/image/1686144734/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,470.0,GR.,2025-04-18,BRØD
8,Rema1000,CHIA BOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60080/image/1686144621/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,520.0,GR.,2025-04-18,BRØD
9,Rema1000,KRYDDERBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60121/image/1725453409/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.5,410.0,GR.,2025-04-18,BRØD
10,Rema1000,BOLLER ØKOLOGISK,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61248/image/1726226263/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,375.0,GR.,2025-04-18,BRØD
11,Rema1000,SOLSKINSBOLLER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60106/image/1744035785/170.jpg,https://shop.rema1000.dk/brod-bavinchi,22.75,390.0,GR.,2025-04-18,BRØD
12,Rema1000,CIABATTASTYKKER,BOLLER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61208/image/1618240061/170.jpg,https://shop.rema1000.dk/brod-bavinchi,14.5,420.0,GR.,2025-04-18,BRØD
13,Rema1000,HVEDETOAST,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60112/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,5.95,375.0,GR.,2025-04-18,BRØD
14,Rema1000,FULDKORNSTOAST,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60113/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.5,375.0,GR.,2025-04-18,BRØD
15,Rema1000,HVEDESANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60114/image/1618240050/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.75,500.0,GR.,2025-04-18,BRØD
16,Rema1000,SKAGENSBRØD,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63139/image/1674809992/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,650.0,GR.,2025-04-18,BRØD
17,Rema1000,MULTIK. SANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61542/image/1642145986/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,800.0,GR.,2025-04-18,BRØD
18,Rema1000,SØDMÆLKSBRØD,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/62632/image/1639313995/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,600.0,GR.,2025-04-18,BRØD
19,Rema1000,GROV CAFESANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60640/image/1744720704/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,400.0,GR.,2025-04-18,BRØD
20,Rema1000,CAFE SANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60141/image/1737361817/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,380.0,GR.,2025-04-18,BRØD
21,Rema1000,FULDKORNSSANDWICH,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60115/image/1672755779/170.jpg,https://shop.rema1000.dk/brod-bavinchi,9.5,500.0,GR.,2025-04-18,BRØD
22,Rema1000,LIMPAN,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60055/image/1618240048/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.95,900.0,GR.,2025-04-18,BRØD
23,Rema1000,FEMKORNSBRØD,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63143/image/1668001225/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,625.0,GR.,2025-04-18,BRØD
24,Rema1000,RUG GO SOLSIKKE,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61509/image/1734081448/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
25,Rema1000,FULDKORNSKLEMMER,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63642/image/1618240070/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,420.0,GR.,2025-04-18,BRØD
