Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of Update,Name Cleaned,Translated Name Cleaned,Category (EN)
Rema1000,HVIDLØGSBAGUETTES,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46612/image/1683894491/170.jpg,https://shop.rema1000.dk/frost,14.95,350,GR.,2025-06-01,hvidløgsbaguettes,garlic baguettes,BRØD & KAGER
Rema1000,PØLSEHORN,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43798/image/1676368118/170.jpg,https://shop.rema1000.dk/frost,26.95,480,GR.,2025-06-01,pølsehorn,Sausage horns,BRØD & KAGER
Rema1000,SOFT PITABRØD,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/41488/image/1731520807/170.jpg,https://shop.rema1000.dk/frost,12.95,375,GR.,2025-06-01,soft pitabrød,soft pita bread,BRØD & KAGER
Rema1000,MORGENBRØD,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46648/image/1618239347/170.jpg,https://shop.rema1000.dk/frost,16.95,600,GR.,2025-06-01,morgenbrød,bread for breakfast;,BRØD & KAGER
Rema1000,HÅNDVÆRKERE,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46647/image/1618239347/170.jpg,https://shop.rema1000.dk/frost,16.95,600,GR.,2025-06-01,håndværkere,artisans,BRØD & KAGER
Rema1000,GRILLET MADBRØD,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46355/image/1725977979/170.jpg,https://shop.rema1000.dk/frost,19.95,600,GR.,2025-06-01,grillet madbrød,barbecued bread,BRØD & KAGER
Rema1000,PITA BRØD,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46336/image/1731088806/170.jpg,https://shop.rema1000.dk/frost,12.95,400,GR.,2025-06-01,pita brød,Pita bread,BRØD & KAGER
Rema1000,HVIDLØGSBAGUETTES,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46615/image/1618239346/170.jpg,https://shop.rema1000.dk/frost,15.95,350,GR.,2025-06-01,hvidløgsbaguettes,garlic baguettes,BRØD & KAGER
Rema1000,FULDKORNS MINIFLUTES,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46646/image/1618239347/170.jpg,https://shop.rema1000.dk/frost,15.95,600,GR.,2025-06-01,fuldkorns miniflutes,whole grain miniflutes,BRØD & KAGER
Rema1000,FOCACCIA PEPPERONI,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43800/image/1683894449/170.jpg,https://shop.rema1000.dk/frost,26.95,400,GR.,2025-06-01,focaccia pepperoni,focaccia pepperoni,BRØD & KAGER
