Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update
Coop,Kærgården,10,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7c32fa351e7668f32a34b38c95faa887&w=552&s=2aa75d0d5fb7ade5f8d7a89d09bd4eb2,,200,g,2025-04-18
Coop,K-Salat pålægssalater*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F93531cc062c6188f4ff7e8609d809b15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe335d520b2e6f00ab62a89301d7197c5%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fba61676460b463f665d5a78a8ff57a18%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fd33d85b3a7e81cd2d1ea3814ba6e587e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbd13759e3d553d4316988c727a3e73fa%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa6f86871cc808d3ca5e76dcba0e88c5f%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc2f06e33ef5ca3fc342322e65aece665%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F42de6eda8aec01d9ae82204e32ca0f0f&w=552&s=e84793f0638c1f8406f10276ed47c6d5,,100-150,g,2025-04-18
Coop,Det Gode fra Schulstad eller Hatting Klapper*,10,,https://image-transformer-api.tjek.com/?_id=v2&h=241&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F949c42830832f5d057e6b47dc5203b8e&w=252&s=0b46f4eca201d43ac4012c3abd98cf92,,360-950,g,2025-04-18
Coop,Skrabeæg,10,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F08da7ad56ab9e071f3e74fc734420df7&w=252&s=472b04051f7f7f7e7e20636da9c4997b,,10,stk,2025-04-18
Coop,"Bagværk håndværkere, skagenslapper eller multikernestykker*",12,,https://image-transformer-api.tjek.com/?_id=v2.6&h=612&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F70c6f99d37188d72ed0bb12d13c7cdf7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F36ccfb458f0098faa01e43c144dc7c5b%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fddab2ac328a2d895072251fec5e87aea%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7b890b2b3675f79fd5e1db03833c7c38&w=552&s=93f8682b00256ed90d8ac5539648317a,,350,g,2025-04-18
Coop,Coop piskefløde,12,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F467eee63928c1f3c0750f017dac99842&w=155&s=8d49af5981c841a8dc69854d85abe8b3,,500,ml,2025-04-18
Coop,Avocado,5,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F04ccd6bf18848443ff4daa39ab7693ea&w=552&s=71c1d33d6ea250797456f0a0fda3c438,,,,2025-04-18
Coop,Glyngøre sild*,18,,https://image-transformer-api.tjek.com/?_id=v2.6&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9f952b60ee325f471b08857e1910dfeb%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F97528ccfad234b9ee0744cb17a2e40a0%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F45a3eb20800ae1a7624ab406cd5c3a64&w=552&s=daefe83ee6423379a322e15cf50a070e,,240-500,g,2025-04-18
Coop,Lykkeberg lakse -og skaldyrspaté*,15,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Faa2e5baf871eb4acd9ddceb7ea8e16a0%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F849597b49fbc7710f10cecc1657dedbb&w=552&s=f321f32d55385f815670c98b9eebbf79,,200,g,2025-04-18
Coop,Røget laks eller varmrøget laks*,55,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe6fe36db84091977025a6fb73afb6f31%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fffda3b3d955e261b4f6a84d6627ca0ae%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F467ff90b59dd5e4c08d54588601c2c26&w=252&s=d3f6f0056fef26aa9569abbcb5833f6c,,200-250,g,2025-04-18
