Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Name Cleaned,Translated Name Cleaned,Category (EN),Context Name,Product,Best Category,Top 1,Top 2,Top 3,Synthetic
Coop,Kellogg's morgenmad*,25.0,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F67ab51220a8b5df9a6ee91cd3b0b44c5&w=828&s=63eeabc3d54537c0197bd9fe216f9797,,205-500,g,2025-04-27,kelloggs morgenmad,kellogg's breakfast,,kellogg's breakfast,kellogg's breakfast,Cereals,Biscuits (0.48),Waffles (0.47),Wheat Flour (0.43),False
Coop,365 penne,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,penne,penne,,penne,penne,Pasta,Liver Pâté (0.36),Cottage Cheese (0.29),Rye Flour (0.28),False
Coop,fusilli,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,fusilli,fusilli,,fusilli,fusilli,Pasta,Surimi (0.42),Parmesan (0.38),Mozzarella (0.37),False
Coop,spaghetti,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,spaghetti,spaghetti,,spaghetti,spaghetti,Spaghetti,Spaghetti (0.98),Pasta (0.73),Pasta Sauce (0.66),False
Coop,Matilde kakaomælk*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Feccedddfe5b91be8e9b3099c1ec23334&w=378&s=86d408bd51c62525496c9a1642a4d90c,,250,ml,2025-04-27,matilde kakaomælk,Matilde cocoa milk,,Matilde cocoa milk,Matilde cocoa milk,Cocoa Milk,Cocoa Milk (0.78),Cocoa Drink (0.62),Milk (0.58),False
Coop,Steff Houlberg pølser,20.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F21cc63afb7fb8cfb1b07050a17b0e9bf%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e5c96460350e6c1a67d9b13c18bb024%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F22dd4837180d72c9e483797a13358096&w=378&s=f3f136fbab548891a7d7632b6e9134d8,,300-400,g,2025-04-27,steff houlberg pølser,Steff houlberg sausages,,Steff houlberg sausages,Steff houlberg sausages,Sausage,Sausage (0.66),Ham Slices (0.44),Sandwich Spread (0.41),False
Coop,Philadelphia*,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F73b65d15fb03f5e20cd94bba0baf1578%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F05afa81d9deb8ef49b624710aa2e1e10%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F11eb18ff3a51d1472c7a6432780def38%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffd7abe47affcd12ce47ac5ad10fdf4d8&w=828&s=8bd57a8758d256635606dbaa9cec4eac,,200,g,2025-04-27,philadelphia,philadelphia,,philadelphia,philadelphia,Pizza,Pizza (0.32),Chili Peppers (0.28),Chips (0.27),False
Coop,Magnum is,25.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5efb2048d1d2f57edbad2e073e204240&w=378&s=c5a14611694d326d1e8966d9246fe8cd,,255-300,ml,2025-04-27,magnum is,magnum ice,,magnum ice,magnum ice,Magnum,Magnum (0.69),Ice Cream (0.57),Iced Tea (0.42),False
Coop,Peter Larsen,42.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa87b573477ac784616a0a79939113c15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1c95e2d77dc5fac578f8508904214fa5&w=378&s=2f2ecfc4712e8f6387af1ea90eae8b65,,400,g,2025-04-27,peter larsen,peter larsen,,peter larsen,peter larsen,Frikadeller,Frikadeller (0.36),Knækbrød (0.29),Parmesan (0.28),False
Coop,BKI Ekstra*,42.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa87b573477ac784616a0a79939113c15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1c95e2d77dc5fac578f8508904214fa5&w=378&s=2f2ecfc4712e8f6387af1ea90eae8b65,,400,g,2025-04-27,bki ekstra,bki extra,,bki extra,bki extra,Pasta Sauce,Pasta Sauce (0.25),Pasta (0.25),Knækbrød (0.24),False
